idx,season,episode,character,line
51,s1,01,Leslie Knope,Are you ready?
52,s1,01,Tom Haverford,Yeah.
53,s1,01,Leslie Knope,Okay.
54,s1,01,Leslie Knope,Here we go.
55,s1,01,Leslie Knope,It's locked.
56,s1,01,Leslie Knope,Okay.
57,s1,01,Leslie Knope,Here we go.
58,s1,01,Leslie Knope,Thank you so much for coming.
59,s1,01,Leslie Knope,What an amazing turnout.
60,s1,01,Leslie Knope,My name is Leslie Knope.
61,s1,01,Leslie Knope,"I am the deputy director of the Parks and Recreation Department, and tonight we're gonna be taking some of your questions as--"
62,s1,01,Leslie Knope,Hello?
63,s1,01,Leslie Knope,We're having a meeting in here.
64,s1,01,Tom Haverford,Does anybody have any questions about permits?
65,s1,01,Leslie Knope,"So, take two."
66,s1,01,Leslie Knope,"I'm Leslie Knope, and with me is department member Tom Haverford."
67,s1,01,Leslie Knope,"We are here to answer any and all of your questions, so fire away."
68,s1,01,Extra,"Well, it's a great day, because last month they put me in jail."
69,s1,01,Extra,That's right.
70,s1,01,Extra,The head of the police is a ninth degree Mason.
71,s1,01,Extra,But the music is so loud.
72,s1,01,Extra,"Stop the graffiti, please."
73,s1,01,Extra,Please.
74,s1,01,Leslie Knope,I don't like obscenities just as much as you don't like them.
75,s1,01,Extra,"No, it drives me crazy."
76,s1,01,Extra,I have kids.
77,s1,01,Leslie Knope,Right.
78,s1,01,Extra,"But I've got my little three year old, I'm going through the park and someone's like, ""Hey [bleep] my [bleep]"" And the guy's, ""You [bleep] my [bleep], you [bleep] head."""
79,s1,01,Leslie Knope,"These people are members of a community that care about where they live, so what I hear when I'm being yelled at is people caring loudly at me."
80,s1,01,Extra,"Now, I have a few things I want to say about Laura Linney."
81,s1,01,Leslie Knope,"Thank you so much, Barry."
82,s1,01,Leslie Knope,Always great to have you here.
83,s1,01,Leslie Knope,Anyone else who would like to contribute?
84,s1,01,Ann Perkins,Hi.
85,s1,01,Ann Perkins,"Hi, hi."
86,s1,01,Ann Perkins,Hi.
87,s1,01,Ann Perkins,I'm Ann Perkins.
88,s1,01,Ann Perkins,"I'm a nurse, and frankly, I don't really care for politics, but I'm here to talk about the abandoned lot on Sullivan Street."
89,s1,01,Leslie Knope,Excellent.
90,s1,01,Leslie Knope,That sounds like a good idea.
91,s1,01,Leslie Knope,Tell us about that.
92,s1,01,Ann Perkins,"No, it's a problem."
93,s1,01,Ann Perkins,It almost killed my boyfriend.
94,s1,01,Leslie Knope,Oh.
95,s1,01,Ann Perkins,Yeah.
96,s1,01,Ann Perkins,"There's a lot nearby my house, and a developer dug out a basement for some condos, and then they went bankrupt, so there's just this giant pit, and it's been there for almost a year."
97,s1,01,Leslie Knope,"Twelve months, yes."
98,s1,01,Leslie Knope,Go on.
99,s1,01,Ann Perkins,"Yeah, and my boyfriend, who is a musician, actually, I support him, but anyway, he fell in and broke both his legs."
100,s1,01,Tom Haverford,"Ann, let me speak with you for a minute."
101,s1,01,Tom Haverford,"So, your boyfriend fell down into this pit, right?"
102,s1,01,Ann Perkins,Yes.
103,s1,01,Tom Haverford,"And, this guy, is it pretty serious?"
104,s1,01,Tom Haverford,Are you guys living together?
105,s1,01,Ann Perkins,Yes.
106,s1,01,Tom Haverford,"Wow, I'm sure this must be really tough for you."
107,s1,01,Tom Haverford,"You know, just, this guy, sounds like he didn't have a lot going on for him to start with, and now both legs broken."
108,s1,01,Tom Haverford,He's just weak.
109,s1,01,Tom Haverford,You have to take care of him.
110,s1,01,Tom Haverford,You probably feel like you need to move on.
111,s1,01,Ann Perkins,What does this--
112,s1,01,Tom Haverford,"Just become more adventurous in relationships with your body, just in"
113,s1,01,Ann Perkins,Are you actually hitting on me right now?
114,s1,01,Tom Haverford,Oh.
115,s1,01,Tom Haverford,Oh.
116,s1,01,Tom Haverford,"God, no."
117,s1,01,Tom Haverford,I'm not hitting on you.
118,s1,01,Tom Haverford,I'm actually married.
119,s1,01,Tom Haverford,"I'm just an open person, and I like connecting with people."
120,s1,01,Tom Haverford,"I'm, you know, very comfortable around women, attractive women."
121,s1,01,Tom Haverford,I've spent a lot of time with them.
122,s1,01,Tom Haverford,And I just-- I don't know.
123,s1,01,Tom Haverford,I feel like we might be taking up too much of the forum's time.
124,s1,01,Tom Haverford,Maybe we can just exchange numbers.
125,s1,01,Tom Haverford,"You know, maybe go away one weekend and just kind of talk about this."
126,s1,01,Ann Perkins,Look --
127,s1,01,Tom Haverford,I'd love to do it.
128,s1,01,Ann Perkins,"The bottom line is I've been trying to get this thing fixed for months, and nobody's done anything, and it's ugly, and it's dangerous, and it's government owned, and you need to do something about it."
129,s1,01,Leslie Knope,Okay.
130,s1,01,Leslie Knope,I'll do something about it.
131,s1,01,Ann Perkins,Really?
132,s1,01,Leslie Knope,"Yes, we-- I will help you."
133,s1,01,Ann Perkins,Is that a promise?
134,s1,01,Leslie Knope,It's more than a promise.
135,s1,01,Leslie Knope,It's a pinky promise.
136,s1,01,Leslie Knope,"I pinky promise all of you that I will help, and I will go to that location tomorrow, and we will fill in that pit, and then when that's done, we're gonna put a park on the land."
137,s1,01,Ann Perkins,Okay.
138,s1,01,Leslie Knope,"Well, I've worked at the Parks Department for six years, and I've handled a lot of things that I'm proud of."
139,s1,01,Leslie Knope,"Recently, I led a city-wide drive to disinfect the sandbox sand after we had those problems with the cats."
140,s1,01,Leslie Knope,"But this pit, the chance to build a whole new park from scratch, this could be my Hoover Dam."
141,s1,01,Tom Haverford,"No, that sounds great."
142,s1,01,Tom Haverford,"Problem is, anything over 25 dollars I have to report, so maybe give my wife a call and give her the suits, and then if they don't fit her, maybe she'll give them to me."
143,s1,01,Leslie Knope,Morning.
144,s1,01,Tom Haverford,"All right, Mr. Mayor."
145,s1,01,Tom Haverford,That sounds good.
146,s1,01,Tom Haverford,I'll see you on Saturday for the Ultimate Frisbee game.
147,s1,01,Tom Haverford,Bye.
148,s1,01,Tom Haverford,"Leslie, hello."
149,s1,01,Leslie Knope,You were talking to the mayor?
150,s1,01,Tom Haverford,"Yep, we were just rapping about some things."
151,s1,01,Leslie Knope,Tom and I work really well together.
152,s1,01,Leslie Knope,We're both outsiders.
153,s1,01,Leslie Knope,"I'm a woman, he's a... I think he's a Libyan."
154,s1,01,Tom Haverford,"I am from Bennettsville, South Carolina."
155,s1,01,Tom Haverford,I am what you might call a redneck.
156,s1,01,Leslie Knope,"Okay, brainstorm."
157,s1,01,Leslie Knope,How do we make this park happen?
158,s1,01,Tom Haverford,Let's go to the city council directly and ask them to put up the money.
159,s1,01,Leslie Knope,"No, parks are not a priority."
160,s1,01,Leslie Knope,I need more firepower.
161,s1,01,Leslie Knope,I need bigger guns.
162,s1,01,Leslie Knope,You know what I need to do?
163,s1,01,Leslie Knope,Form a committee.
164,s1,01,Leslie Knope,Right?
165,s1,01,Tom Haverford,"Yeah, that could work."
166,s1,01,Leslie Knope,"Yeah, 'cause committees are power, and committees make things happen."
167,s1,01,Leslie Knope,Committees are the lifeblood of our democratic system.
168,s1,01,Leslie Knope,That's really good.
169,s1,01,Leslie Knope,Write that down.
170,s1,01,Tom Haverford,Yep.
171,s1,01,Leslie Knope,"From time to time, when I think of an eloquent saying or a phrase, I have Tom write it down."
172,s1,01,Leslie Knope,He's collecting them for my memoirs.
173,s1,01,Tom Haverford,Here's Leslie's quote from Wednesday.
174,s1,01,Leslie Knope,"Okay, read it back to me."
175,s1,01,Tom Haverford,"Um ""Committees cover our democracy with blood."""
176,s1,01,Leslie Knope,Hmm.
177,s1,01,Leslie Knope,Sounded better when I said it.
178,s1,01,Leslie Knope,"It's still good, though."
179,s1,01,Leslie Knope,"Okay, I have an idea."
180,s1,01,Leslie Knope,What about bringing Mark on board?
181,s1,01,Tom Haverford,Which Mark?
182,s1,01,Leslie Knope,Which Mark?
183,s1,01,Leslie Knope,Mark Brendanawicz.
184,s1,01,Leslie Knope,Which Mark?
185,s1,01,Leslie Knope,"Well, if you want something done in this town, you call Mark Brendanawicz because, you know, he's a city planner, but he's more than that."
186,s1,01,Leslie Knope,He's kind of like a fixer.
187,s1,01,Leslie Knope,He fixes things.
188,s1,01,Leslie Knope,"He's a smart, capable guy."
189,s1,01,Leslie Knope,He just-- He knows where the bodies are buried.
190,s1,01,Leslie Knope,"What's up, Brendanawicz?"
191,s1,01,Leslie Knope,You crazy old Polish person.
192,s1,01,Leslie Knope,"City Hall is like a locker room, and you gotta get in there, and you gotta snap towels at people, and you gotta give them the business, and if you can't take it, you know, you... Then you can't take it."
193,s1,01,Leslie Knope,You gotta leave the locker room.
194,s1,01,Leslie Knope,Let's get down to brass tacks.
195,s1,01,Leslie Knope,I know you don't have a lot of time and I want to thank you for meeting me today.
196,s1,01,Mark Brendanawicz,I just work right there.
197,s1,01,Leslie Knope,"Well, thank you for clearing your schedule."
198,s1,01,Mark Brendanawicz,I didn't clear anything.
199,s1,01,Leslie Knope,"You know this lot that I'm talking about, right?"
200,s1,01,Mark Brendanawicz,"Yeah, Lot 48."
201,s1,01,Mark Brendanawicz,Condo developer.
202,s1,01,Mark Brendanawicz,"He dug a basement, and then he went bankrupt."
203,s1,01,Mark Brendanawicz,I checked it out like a month ago.
204,s1,01,Mark Brendanawicz,It's pretty gross.
205,s1,01,Leslie Knope,What would you say if I told you that I was thinking about turning it into a park?
206,s1,01,Mark Brendanawicz,"A park, huh?"
207,s1,01,Mark Brendanawicz,Okay.
208,s1,01,Mark Brendanawicz,"Well, when I think about the logistics, the various hoops that you're gonna have to jump through, I would say, is it likely?"
209,s1,01,Mark Brendanawicz,"No, it's not likely, you know."
210,s1,01,Mark Brendanawicz,"But, is it possible?"
211,s1,01,Mark Brendanawicz,No.
212,s1,01,Mark Brendanawicz,It's not possible.
213,s1,01,Mark Brendanawicz,I would give up on that one.
214,s1,01,Leslie Knope,What?
215,s1,01,Leslie Knope,Why?
216,s1,01,Mark Brendanawicz,Why?
217,s1,01,Mark Brendanawicz,I don't know.
218,s1,01,Mark Brendanawicz,There's like a million reasons why.
219,s1,01,Mark Brendanawicz,"Homeowners' associations, anti-government nuts, bureaucrats, miles of red tape--"
220,s1,01,Leslie Knope,Really?
221,s1,01,Leslie Knope,It sounds like you're telling me to go for it.
222,s1,01,Mark Brendanawicz,There's no way it can happen.
223,s1,01,Leslie Knope,I can do this.
224,s1,01,Leslie Knope,I just need a little help.
225,s1,01,Leslie Knope,"Could you do me a favor, for old times' sake?"
226,s1,01,Leslie Knope,Mark and I-- It's complicated.
227,s1,01,Leslie Knope,"When you work closely with someone and you share similar interests and you have a similar world view and you're passionate about the same things, things can happen."
228,s1,01,Leslie Knope,We slept together.
229,s1,01,Mark Brendanawicz,Leslie?
230,s1,01,Mark Brendanawicz,No.
231,s1,01,Mark Brendanawicz,"Oh, my God."
232,s1,01,Mark Brendanawicz,You know what?
233,s1,01,Mark Brendanawicz,"Yeah, we did, like, five years ago."
234,s1,01,Mark Brendanawicz,"I sort of-- No, but yeah."
235,s1,01,Mark Brendanawicz,"Yeah, we did."
236,s1,01,Ann Perkins,"Honey, can you straighten up your area a little bit?"
237,s1,01,Ann Perkins,'Cause they're gonna be here soon.
238,s1,01,Ann Perkins,Can-- Thanks.
239,s1,01,Ann Perkins,"That parks lady is coming over, and we're gonna go take a look at the pit."
240,s1,01,Ann Perkins,I think it's probably just a photo op for her.
241,s1,01,Ann Perkins,"I mean, I don't think anybody in government actually cares about--"
242,s1,01,Andy Dwyer,"Honey, do you mind doing that somewhere else?"
243,s1,01,Andy Dwyer,I'm trying to watch TV.
244,s1,01,Ann Perkins,I'm talking about the pit you fell in.
245,s1,01,Leslie Knope,It's Ms. Perkins' house.
246,s1,01,Andy Dwyer,Doorbell!
247,s1,01,Ann Perkins,"Yeah, I heard it."
248,s1,01,Andy Dwyer,Doorbell!
249,s1,01,Ann Perkins,I heard it.
250,s1,01,Ann Perkins,I'm getting it.
251,s1,01,Leslie Knope,I'm here.
252,s1,01,Ann Perkins,Hey!
253,s1,01,Ann Perkins,Wow!
254,s1,01,Ann Perkins,Look at that.
255,s1,01,Leslie Knope,Safety.
256,s1,01,Leslie Knope,You remember Tom from last night.
257,s1,01,Tom Haverford,"Hey, Ann, how are you?"
258,s1,01,Ann Perkins,"Yeah, hey."
259,s1,01,Ann Perkins,Of course I do.
260,s1,01,Leslie Knope,"And this is our college intern, April."
261,s1,01,Leslie Knope,She's going to be documenting our fact finding mission.
262,s1,01,Ann Perkins,"Hey, April."
263,s1,01,April Ludgate,Hey.
264,s1,01,Ann Perkins,Is this fun for you?
265,s1,01,April Ludgate,"Yeah, it's so much fun."
266,s1,01,Ann Perkins,I'm just gonna grab my phone quickly.
267,s1,01,Ann Perkins,Sorry.
268,s1,01,Leslie Knope,This must be our hero.
269,s1,01,Leslie Knope,The man heard 'round the world.
270,s1,01,Andy Dwyer,Uh-huh.
271,s1,01,Leslie Knope,"How you doing, son?"
272,s1,01,Andy Dwyer,Pretty good.
273,s1,01,Leslie Knope,I'm Leslie Knope.
274,s1,01,Leslie Knope,And the entire government of Pawnee would like to let you know that we will do everything we can to help you.
275,s1,01,Andy Dwyer,Could you pass me my itch stick?
276,s1,01,Leslie Knope,Of course.
277,s1,01,Ann Perkins,"So, Andy jumped over this fence."
278,s1,01,Ann Perkins,"He was crossing through to get home, and then he fell right there."
279,s1,01,Leslie Knope,"Oh, my God."
280,s1,01,Leslie Knope,How did we let this happen?
281,s1,01,Leslie Knope,"Dream with me for a second, Ann."
282,s1,01,Leslie Knope,Doesn't this neighborhood deserve a first-class park?
283,s1,01,Leslie Knope,"Imagine a shiny new playground with a jungle gym and swings, pool, tennis courts, volleyball courts, racquetball courts, basketball court, regulation football field."
284,s1,01,Leslie Knope,We could put an amphitheatre over there with Shakespeare in the Park.
285,s1,01,Ann Perkins,It's really not that big of a pit.
286,s1,01,Leslie Knope,We could do some of those things.
287,s1,01,Leslie Knope,It's gonna take a little extra work.
288,s1,01,Leslie Knope,But why not try?
289,s1,01,Ann Perkins,I think that would be great.
290,s1,01,Leslie Knope,"Me, too."
291,s1,01,Leslie Knope,I'm going in.
292,s1,01,Ann Perkins,Why?
293,s1,01,Leslie Knope,Don't worry.
294,s1,01,Leslie Knope,I have a hard hat on.
295,s1,01,Ann Perkins,"I can see that, but--"
296,s1,01,Leslie Knope,Yeah.
297,s1,01,Leslie Knope,"April, document this."
298,s1,01,April Ludgate,Document what?
299,s1,01,Leslie Knope,"The key to any factfinding mission is to get right into the battle zone, you know?"
300,s1,01,Leslie Knope,It's like George Bush when he flew over New Orleans or Richard Nixon when he went to China to see what the Chinese were up to.
301,s1,01,Leslie Knope,No!
302,s1,01,Ann Perkins,"Leslie, are you okay?"
303,s1,01,Tom Haverford,Leslie!
304,s1,01,Tom Haverford,"Hold on, April's gonna get some photos for the website."
305,s1,01,April Ludgate,Could you just be still?
306,s1,01,Tom Haverford,Don't move around as much.
307,s1,01,Ann Perkins,"Okay, squeeze my fingers."
308,s1,01,Ann Perkins,Good.
309,s1,01,Ann Perkins,Does it hurt a lot?
310,s1,01,Leslie Knope,No.
311,s1,01,Leslie Knope,Mmmmmm.
312,s1,01,Leslie Knope,I'm fine.
313,s1,01,Ann Perkins,"No, you're not."
314,s1,01,Leslie Knope,Good thing I was wearing that hard hat.
315,s1,01,Ann Perkins,But it-- It fell off.
316,s1,01,Leslie Knope,After my head hit that rod.
317,s1,01,Ann Perkins,Wow.
318,s1,01,Andy Dwyer,"I can't believe you fell in, too."
319,s1,01,Andy Dwyer,That's awesome.
320,s1,01,Ann Perkins,"It's not awesome, Andy."
321,s1,01,Leslie Knope,"Well, at least my boss will listen to me now that I broke my clavicle."
322,s1,01,Ann Perkins,It's not broken.
323,s1,01,Leslie Knope,It is.
324,s1,01,Leslie Knope,Do you have one of those neck foam collar brace things?
325,s1,01,Ann Perkins,"Honestly, you're fine."
326,s1,01,Leslie Knope,"Honestly, my clavicle's broken."
327,s1,01,Andy Dwyer,"Oh, hey, baby, if you're going to the kitchen, could you make me pancakes real quick?"
328,s1,01,Ann Perkins,Sure.
329,s1,01,Leslie Knope,Ooh!
330,s1,01,Leslie Knope,Are pancakes being made?
331,s1,01,Leslie Knope,Thank you.
332,s1,01,Ann Perkins,Sure.
333,s1,01,Ann Perkins,"I don't know, she's a little doofy, but she's sweet."
334,s1,01,Leslie Knope,"Ron, please."
335,s1,01,Ron Swanson,No.
336,s1,01,Ron Swanson,No way.
337,s1,01,Leslie Knope,"Come on, Ron."
338,s1,01,Leslie Knope,I've been a loyal foot soldier.
339,s1,01,Leslie Knope,Give me my shot.
340,s1,01,Leslie Knope,Let me have Lot 48.
341,s1,01,Ron Swanson,Is that a travel pillow around your neck?
342,s1,01,Leslie Knope,"Ron, I don't know how to explain this to you."
343,s1,01,Leslie Knope,When you've been down in the pit-- Have you been in the pit?
344,s1,01,Ron Swanson,"No, I haven't gotten down there yet."
345,s1,01,Leslie Knope,"Well, I have."
346,s1,01,Ron Swanson,When you fell in.
347,s1,01,Leslie Knope,When I visited the bottom of the pit on a fact finding mission.
348,s1,01,Leslie Knope,"And when you're down there, you get some perspective about what it all means."
349,s1,01,Leslie Knope,"And let me tell you something, Ron."
350,s1,01,Leslie Knope,What it means is I want this subcommittee.
351,s1,01,Ron Swanson,I've been quite open about this around the office.
352,s1,01,Ron Swanson,I don't want this Parks Department to build any parks because I don't believe in government.
353,s1,01,Ron Swanson,I think that all government is a waste of taxpayer money.
354,s1,01,Ron Swanson,My dream is to have the park system privatized and run entirely for profit by corporations.
355,s1,01,Ron Swanson,Like Chuck E. Cheese.
356,s1,01,Ron Swanson,They have an impeccable business model.
357,s1,01,Ron Swanson,I would rather work for Chuck E. Cheese.
358,s1,01,Ron Swanson,"Well, I will definitely think about it."
359,s1,01,Leslie Knope,I like the sound of that definitely.
360,s1,01,Leslie Knope,I'm gonna leave before you change your mind.
361,s1,01,Leslie Knope,"Mr. Swanson, I presume."
362,s1,01,Leslie Knope,Lot 46 thoughts? Yes? No? Me? Park?
363,s1,01,Leslie Knope,Giving the park to me?
364,s1,01,Ron Swanson,Still mulling.
365,s1,01,Ron Swanson,She's insatiable.
366,s1,01,Ron Swanson,She's like a little dog with a chew toy.
367,s1,01,Leslie Knope,"All right, you guys."
368,s1,01,Leslie Knope,"All right, all right."
369,s1,01,Leslie Knope,I'll ask him.
370,s1,01,Leslie Knope,Everybody wants to know what your decision is.
371,s1,01,Leslie Knope,Someone on the phone about the park.
372,s1,01,Leslie Knope,"You know, I don't think I even want it."
373,s1,01,Leslie Knope,Oh man.
374,s1,01,Leslie Knope,My clavicle's still really hurting me.
375,s1,01,Tom Haverford,Oh!
376,s1,01,Tom Haverford,This is a great shot.
377,s1,01,April Ludgate,I know.
378,s1,01,Tom Haverford,That's awesome.
379,s1,01,April Ludgate,I think she's crying in that one.
380,s1,01,April Ludgate,Look at this one.
381,s1,01,Mark Brendanawicz,"Hey, kids."
382,s1,01,Tom Haverford,That's another good one.
383,s1,01,April Ludgate,Hey.
384,s1,01,Tom Haverford,"Hey, Brendanawicz."
385,s1,01,Tom Haverford,You gotta come check this out.
386,s1,01,Tom Haverford,"Leslie took us out to that pit in Lot 48, and she fell inside."
387,s1,01,Tom Haverford,And we have some awesome photos.
388,s1,01,April Ludgate,One.
389,s1,01,Mark Brendanawicz,Is she okay?
390,s1,01,Tom Haverford,"Yeah, she's fine."
391,s1,01,Tom Haverford,Oh! This is a classic.
392,s1,01,April Ludgate,That's the best one.
393,s1,01,Tom Haverford,The up-skirt photo.
394,s1,01,Tom Haverford,Awesome.
395,s1,01,Tom Haverford,"Hey, man."
396,s1,01,Tom Haverford,Give me the photo back.
397,s1,01,Tom Haverford,What's going on?
398,s1,01,April Ludgate,Don't worry.
399,s1,01,April Ludgate,I can print more.
400,s1,01,Mark Brendanawicz,Leslie is unique.
401,s1,01,Mark Brendanawicz,Government work can beat you down.
402,s1,01,Mark Brendanawicz,I would say that I lost my optimism about government in about two months.
403,s1,01,Mark Brendanawicz,Leslie's kept hers for six years.
404,s1,01,Mark Brendanawicz,"I've got a few rules about how to survive and prosper in a government job, and I think I'm about to break one of those rules."
405,s1,01,Mark Brendanawicz,I want you to give Lot 48 to Leslie so she can try to build a park.
406,s1,01,Ron Swanson,Why should I?
407,s1,01,Mark Brendanawicz,"You owe me one, remember?"
408,s1,01,Ron Swanson,Do you want to cash in for this?
409,s1,01,Mark Brendanawicz,"Yeah, I do."
410,s1,01,Leslie Knope,"So this was built in 1935, it's called Pioneer Hall. And a little trivia, it is one of the first structures in America to ever have locks."
411,s1,01,Ann Perkins,Wow!
412,s1,01,Leslie Knope,"Oh, yeah."
413,s1,01,Leslie Knope,This is our crown jewel.
414,s1,01,Leslie Knope,It's one of our best murals.
415,s1,01,Leslie Knope,It depicts the very famous battle at Conega Creek.
416,s1,01,Leslie Knope,"We have a lot of children visit, so often we have to cover up the more gruesome parts with a poster."
417,s1,01,Ann Perkins,That is horrifying.
418,s1,01,Leslie Knope,"Yes, it is."
419,s1,01,Leslie Knope,"So, what do you want to see? The DMV? Animal control? Or we could--"
420,s1,01,Tom Haverford,Leslie! We did it.
421,s1,01,Tom Haverford,Ron's approved our committee.
422,s1,01,Ann Perkins,"Oh, my God."
423,s1,01,Leslie Knope,That's great!
424,s1,01,Ann Perkins,That's so great.
425,s1,01,Leslie Knope,That's so exciting! This is huge.
426,s1,01,Leslie Knope,"I'm barely 34, and I've already landed a Parks Department exploratory subcommittee."
427,s1,01,Leslie Knope,I'm a rocket ship.
428,s1,01,Mark Brendanawicz,Leslie.
429,s1,01,Mark Brendanawicz,I just heard the news.
430,s1,01,Leslie Knope,Hey.
431,s1,01,Leslie Knope,Isn't it great?
432,s1,01,Mark Brendanawicz,Congratulations.
433,s1,01,Leslie Knope,Thank you.
434,s1,01,Leslie Knope,I'm so excited.
435,s1,01,Leslie Knope,"It's exciting, isn't it?"
436,s1,01,Mark Brendanawicz,It is.
437,s1,01,Leslie Knope,Yeah.
438,s1,01,Leslie Knope,"Should I call a press conference now, or--"
439,s1,01,Tom Haverford,"Yeah, call one."
440,s1,01,Tom Haverford,Definitely.
441,s1,01,Mark Brendanawicz,I would.
442,s1,01,Tom Haverford,"Every now and then we have these little gatherings, and Leslie gets plastered."
443,s1,01,Tom Haverford,One time I convinced her to try to fax someone a Fruit Roll-Up.
444,s1,01,Tom Haverford,She one time made out with the water delivery guy in her office.
445,s1,01,Tom Haverford,"On Halloween, she was dressed up as Batman."
446,s1,01,Tom Haverford,Not Batgirl.
447,s1,01,Tom Haverford,Batman.
448,s1,01,Tom Haverford,And I convinced her to go stop a crime that was going on outside.
449,s1,01,Tom Haverford,And it is my favorite thing in the world.
450,s1,01,Leslie Knope,You know what?
451,s1,01,Leslie Knope,America is awesome.
452,s1,01,Leslie Knope,It's so full of hope and small towns and big cities and real people and delicious beverages and hot guys.
453,s1,01,Leslie Knope,You just never know when opportunity is gonna strike.
454,s1,01,Ann Perkins,Yeah.
455,s1,01,Leslie Knope,You gotta be ready for it.
456,s1,01,Ann Perkins,Yeah.
457,s1,01,Leslie Knope,Are you excited?
458,s1,01,Ann Perkins,Definitely am.
459,s1,01,Ann Perkins,Fired up.
460,s1,01,Leslie Knope,Yeah!
461,s1,01,Ann Perkins,I'm really fired up.
462,s1,01,Ann Perkins,"You know they say that democracy or whatever only works when people get involved? Well, I'm getting involved."
463,s1,01,Ann Perkins,So I am gonna make a vow now that I will do whatever it takes to get this pit filled in.
464,s1,01,Ann Perkins,Even if it takes two months.
465,s1,01,Leslie Knope,"Soul sista, soul sista Gonna get your phone, sista"
466,s1,01,Ann Perkins,Yeah.
467,s1,01,Leslie Knope,Sweet Lady Marmalard
468,s1,01,Ron Swanson,I've created this office as a symbol of how I feel about government.
469,s1,01,Ron Swanson,This sawed-off shotgun belonged to a local bootlegger.
470,s1,01,Ron Swanson,People who come in here to ask me for things have to stare right down the barrel.
471,s1,01,Ron Swanson,Did you guys get a grant to do this? This is my basketball court.
472,s1,01,Ron Swanson,I don't want to see any double dribble.
473,s1,01,Ron Swanson,I don't want to see any three second violations.
474,s1,01,Ron Swanson,Bobby Knight!
475,s1,02,Leslie Knope,"Well, one of the funner things that we do here in Pawnee is the annual Easter egg hunt."
476,s1,02,Leslie Knope,"Tom hides the eggs, and I have to say he did an exceptional job this year."
477,s1,02,Leslie Knope,I've been searching for 25 minutes and I haven't found a single egg.
478,s1,02,Leslie Knope,And I'm an adult.
479,s1,02,Tom Haverford,Oh.
480,s1,02,Tom Haverford,"Yeah, I forgot to do that."
481,s1,02,Leslie Knope,Maybe Tom's trying to make this year a challenge.
482,s1,02,Leslie Knope,"And if so, he's succeeding."
483,s1,02,Leslie Knope,I don't think a single egg has been found yet.
484,s1,02,Leslie Knope,Let's keep looking.
485,s1,02,Leslie Knope,We're gonna find one.
486,s1,02,Leslie Knope,I'm going to see my mom.
