Character,Line,Next_Character,Season,Episode,Line_Length,Sentiment
Tom Haverford,"Tonight, the ""T"" in T-Pain stands for Tom Haverford! Nurses versus doctors. On my mark, three, two, one. Go! Vodka!",All,2,7,20,Negative
All,Go!,Ron Swanson,2,7,1,Neutral
Ron Swanson,Son. That is one hell of a costume.,Ben,2,7,8,Neutral
Ben,Thanks.,Ron Swanson,2,7,1,Neutral
Ron Swanson,"Damn, that's good. Nice party.",Ann Perkins,2,7,5,Negative
Ann Perkins,Thanks.,Leslie Knope,2,7,1,Neutral
Leslie Knope,Why would anyone do this?,Andy Dwyer,2,7,5,Neutral
Andy Dwyer,Kids are kids. Everybody does stupid stuff like this in high school.,Leslie Knope,2,7,12,Positive
Leslie Knope,I didn't.,Andy Dwyer,2,7,2,Neutral
Andy Dwyer,"Yeah, but you were probably a nerd, though, huh?",Leslie Knope,2,7,9,Positive
Leslie Knope,Hey.,Andy Dwyer,2,7,1,Neutral
Andy Dwyer,"Leslie, I mean that in a good way. Look at you now. You're the coolest person I've ever met. I even met John Cougar Mellencamp once.",Leslie Knope,2,7,26,Neutral
Leslie Knope,"Andy, why don't you go home? I'll finish cleaning this up.",Andy Dwyer,2,7,11,Neutral
Andy Dwyer,"No way. I mean, you got me a job and you're helping me turn my life around. I go home when you go home.",Mark Brendanawicz,2,7,24,Neutral
Mark Brendanawicz,"Uh, it's city planning. It's mostly like regulating things and just making sure people obey the city code.",Nurse,2,7,18,Neutral
Nurse,You wanna get out of here? Go back to my place?,Mark Brendanawicz,2,7,11,Neutral
Mark Brendanawicz,What? No. I'm dating Ann.,Nurse,2,7,5,Neutral
Nurse,"Good. That was a test. You passed. Let's celebrate you passing the test, over a drink, at my place.",Mark Brendanawicz,2,7,19,Neutral
Mark Brendanawicz,No. Still no.,Nurse,2,7,3,Neutral
Nurse,"You passed the second test. But we're still watching you. So, you wanna get out of here, go back to my place?",Wendy,2,7,22,Neutral
Wendy,Hey. Ron.,Ron Swanson,2,7,2,Neutral
Ron Swanson,"Hello, Wendy. Well, you and Tom really turned the party around.",Wendy,2,7,11,Positive
Wendy,We have a good time together. Tom told me that you know about our green card marriage. And I just want to say thank you for not telling anyone.,Ron Swanson,2,7,29,Neutral
Ron Swanson,No worries. I'd hate for you to have to go back to Canada. All that socialized medicine up there.,Tom Haverford,2,7,19,Positive
Tom Haverford,Wendylicious. Where have you been?,Wendy,2,7,5,Neutral
Wendy,"I was just thanking Ron. For, you know, not telling anyone.",Tom Haverford,2,7,11,Positive
Tom Haverford,"Oh, yeah. Thank you. That was cool of you.",Wendy,2,7,9,Neutral
Wendy,"You know, you won't have to keep it a secret much longer, because in a few months we can split up without raising any eyebrows. And we'll invite you to the divorce party.",Leslie Knope,2,7,33,Negative
Leslie Knope,"Huh, maybe Greg is innocent. If that's the case, then there's another kid out there who's tormenting me.",Andy Dwyer,2,7,18,Positive
Andy Dwyer,Maybe.,Leslie Knope,2,7,1,Neutral
Leslie Knope,I believe that you're innocent until proven guilty in this country. That's the cornerstone of democracy.,Andy Dwyer,2,7,16,Neutral
Andy Dwyer,Sure.,Leslie Knope,2,7,1,Neutral
Leslie Knope,"On the other hand, Greg Pikitis is a little punk. And I kind of wanna TP his house.",Andy Dwyer,2,7,18,Neutral
Andy Dwyer,Let's do it.,Leslie Knope,2,7,3,Neutral
Leslie Knope,"Wait, wait! Wait, wait! This is fun! This is fun! What do I do?",Andy Dwyer,2,7,14,Positive
Andy Dwyer,"You just grab the toilet paper, unroll it a little bit like this, and throw it on the tree.",Leslie Knope,2,7,19,Positive
Leslie Knope,This is for Mayor Percy! This is for the Parks Department office! This is for pooping on the handball court! Yeah! This is really fun! But I don't condone it!,Ann Perkins,2,7,30,Neutral
Ann Perkins,"Bye, guys.",Mark Brendanawicz,2,7,2,Neutral
Mark Brendanawicz,Bye.,Ann Perkins,2,7,1,Neutral
Ann Perkins,"You're the man, Swanson. Thanks for coming.",Tom Haverford,2,7,7,Neutral
Tom Haverford,Ann!,Ann Perkins,2,7,1,Neutral
Ann Perkins,Dude. Thank you so much. I don't even know what to say.,Tom Haverford,2,7,12,Positive
Tom Haverford,Don't mention it.,Mark Brendanawicz,2,7,3,Neutral
Mark Brendanawicz,"Also, Tom, your wife is super cool. So, well done.",Tom Haverford,2,7,10,Positive
Tom Haverford,"Yeah, she's pretty great, right?",Ann Perkins,2,7,5,Neutral
Ann Perkins,"Yeah. I don't know how you landed that chick, but she's awesome. Nice work. You're lucky.",Wendy,2,7,16,Negative
Wendy,"Hi, you ready to go?",Tom Haverford,2,7,5,Neutral
Tom Haverford,Yes.,Wendy,2,7,1,Neutral
Wendy,All right. Thank you so much. We had so much fun.,Ann Perkins,2,7,11,Neutral
Ann Perkins,"Bye, thank you.",Tom Haverford,2,7,3,Neutral
Tom Haverford,About to head home and have crazy sex.,Ann Perkins,2,7,8,Positive
Ann Perkins,That's cool. I don't--,Leslie Knope,2,7,4,Neutral
Leslie Knope,Yeah!,Andy Dwyer,2,7,1,Neutral
Andy Dwyer,"Five-O! Five-O! I see you in there, Andy. Leslie? What are you doing?",Leslie Knope,2,7,13,Negative
Leslie Knope,"Oh, boy.",Greg's Mom,2,7,2,Neutral
Greg's Mom,"That's them, Officer! Right there!",Leslie Knope,2,7,5,Neutral
Leslie Knope,"Oh, my God. Oh, no. I'm so sorry, I think we have the wrong house.",Greg's Mom,2,7,15,Neutral
Greg's Mom,Why are you doing this?,Leslie Knope,2,7,5,Neutral
Leslie Knope,"It's really hard to explain, but we were trying to get revenge on this kid, Greg Pikitis, and we thought this was his house, but I guess we got the address wrong.",Greg's Mom,2,7,32,Positive
Greg's Mom,I'm Greg's mom.,Leslie Knope,2,7,3,Neutral
Leslie Knope,You are?,Greg's Mom,2,7,2,Neutral
Greg's Mom,"Yes. Oh. Did he hire a fake mom again, to get him out of trouble?",Leslie Knope,2,7,15,Positive
Leslie Knope,What?,Greg's Mom,2,7,1,Neutral
Greg's Mom,"Whenever he gets in trouble, he goes on Craigslist and hires a woman to play his mother and bail him out. Oh, that little SOB! Greg! Gregory!",Leslie Knope,2,7,27,Neutral
Leslie Knope,I knew it!,Dave Sanderson,2,7,3,Neutral
Dave Sanderson,"Oh, my God.",Andy Dwyer,2,7,3,Neutral
Andy Dwyer,Dude. That kid is amazing.,Greg's Mom,2,7,5,Neutral
Greg's Mom,He's not in his room. I don't know where he is.,Leslie Knope,2,7,11,Positive
Leslie Knope,I do. Make sure you--,Extra,2,7,5,Neutral
Extra,"I need more, man.",Dave Sanderson,2,7,4,Neutral
Dave Sanderson,Hey!,Leslie Knope,2,7,1,Neutral
Leslie Knope,Let them go! Stay on the leader!,Greg's Mom,2,7,7,Negative
Greg's Mom,I am gonna wring your neck!,Leslie Knope,2,7,6,Neutral
Leslie Knope,How did you get into the Parks Department? I have to know.,Greg Pikitis,2,7,12,Negative
Greg Pikitis,Maybe the FBI can figure it out.,Andy Dwyer,2,7,7,Negative
Andy Dwyer,"I'm not even in the FBI, stupid.",Greg Pikitis,2,7,7,Negative
Greg Pikitis,"Wow, you're amazing.",Leslie Knope,2,7,3,Positive
Leslie Knope,Hey! You're going to jail for a very long time.,Greg Pikitis,2,7,10,Neutral
Greg Pikitis,You can't--,Dave Sanderson,2,7,2,Neutral
